"country","host_name","network_zone_type","ip_address","data_centre_location","it_service","it_service_owner","rhel_version","network_environment","running_cost_in_usd","infrastructure_component","operational_status"
"HK","host6086","DMZ","222.67.190.142","Hong Kong DC","Database","Adele","RHEL 7","Dev",990,"Mule PCE","active"
"HK","host8454","WAN","193.73.34.121","Hong Kong DC","File Storage","Adele","RHEL 8","Dev",946,"Hazelcast","active"
"US","host9871","DMZ","194.32.185.105","New York DC","Email","Adele","RHEL 9","Prod",969,"Kong GW","planned"
"PL","host4256","LAN","200.174.125.101","Warsaw DC","File Storage","Adele","RHEL 8","Dev",415,"Mule GW","active"
"UK","host2778","WAN","207.183.200.208","London DC","Database","Adele","RHEL 7","Dev",1397,"rProxy","planned"
"UK","host9517","DMZ","200.251.75.82","London DC","Web Hosting","Adele","RHEL 8","Prod",1173,"Kong GW","active"
"UK","host1507","LAN","206.137.64.49","London DC","Database","Amy Winehouse","RHEL 8","Dev",1179,"rProxy","active"
"US","host7276","LAN","193.245.15.78","New York DC","Database","John Lennon","RHEL 9","Prod",1196,"rProxy","planned"
"UK","host7648","LAN","223.174.186.155","London DC","Email","David Bowie","RHEL 8","Dev",1378,"rProxy","active"
"UK","host9320","LAN","219.72.88.158","London DC","Monitoring","Adele","RHEL 9","Prod",768,"Hazelcast","active"
"UK","host6719","LAN","222.58.75.104","London DC","File Storage","Adele","RHEL 7","Prod",1319,"Mule GW","decommissioning"
"UK","host3783","LAN","203.2.190.125","London DC","File Storage","David Bowie","RHEL 9","Prod",657,"Mule GW","planned"
"HK","host4477","LAN","203.199.175.39","Hong Kong DC","Monitoring","Adele","RHEL 8","Dev",689,"Hazelcast","active"
"US","host7770","LAN","207.66.170.209","New York DC","Database","David Bowie","RHEL 7","Prod",1591,"rProxy","decommissioning"
"UK","host1460","WAN","220.142.135.196","London DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",1185,"rProxy","active"
"HK","host2396","DMZ","204.27.101.62","Hong Kong DC","Database","Adele","RHEL 8","Dev",666,"Hazelcast","active"
"CN","host6744","LAN","204.177.70.145","Beijing DC","Database","David Bowie","RHEL 8","Prod",753,"Kong GW","decommissioning"
"US","host6322","LAN","192.181.141.41","New York DC","File Storage","John Lennon","RHEL 7","Test",1841,"Mule PCE","active"
"UK","host8769","LAN","202.232.159.149","London DC","Email","Adele","RHEL 9","Prod",838,"Hazelcast","planned"
"UK","host5279","LAN","214.175.37.119","London DC","Email","Elton John","RHEL 8","Dev",879,"Kong GW","active"
"HK","host2228","LAN","193.161.194.167","Hong Kong DC","Web Hosting","David Bowie","RHEL 8","Dev",680,"Kong GW","active"
"US","host6252","LAN","206.49.62.217","New York DC","File Storage","David Bowie","RHEL 9","Prod",826,"rProxy","planned"
"CN","host7719","WAN","220.136.231.248","Beijing DC","Email","Amy Winehouse","RHEL 8","Prod",573,"MongoDB","active"
"HK","host9634","DMZ","223.131.62.152","Hong Kong DC","Web Hosting","Adele","RHEL 8","Dev",890,"rProxy","planned"
"US","host4290","LAN","194.107.75.146","New York DC","Email","David Bowie","RHEL 8","Test",1238,"Hazelcast","active"
"UK","host1609","LAN","207.198.70.25","London DC","Database","Amy Winehouse","RHEL 9","Prod",818,"Kong GW","active"
"US","host4835","WAN","202.22.176.246","New York DC","Web Hosting","Adele","RHEL 8","Prod",1351,"Hazelcast","active"
"HK","host6290","WAN","212.223.41.135","Hong Kong DC","Email","David Bowie","RHEL 8","Dev",631,"Mule PCE","active"
"UK","host9386","LAN","202.235.24.158","London DC","Email","David Bowie","RHEL 8","Prod",1398,"Mule GW","active"
"PL","host9259","LAN","204.20.20.91","Warsaw DC","Database","David Bowie","RHEL 8","Dev",451,"Mule GW","active"
"UK","host7897","LAN","216.65.180.190","London DC","Web Hosting","Amy Winehouse","RHEL 8","Dev",1098,"MongoDB","planned"
"PL","host6633","DMZ","218.217.92.150","Warsaw DC","Monitoring","John Lennon","RHEL 9","Prod",312,"Hazelcast","planned"
"US","host9784","LAN","210.172.135.147","New York DC","Database","Adele","RHEL 8","UAT",1084,"Hazelcast","planned"
"UK","host6106","LAN","192.149.14.12","London DC","Database","David Bowie","RHEL 9","Dev",820,"Mule PCE","planned"
"US","host6767","LAN","197.192.95.84","New York DC","Email","David Bowie","RHEL 7","Prod",1749,"Hazelcast","active"
"PL","host3608","LAN","208.106.145.26","Warsaw DC","File Storage","John Lennon","RHEL 7","Prod",758,"rProxy","decommissioning"
"US","host8733","LAN","202.71.8.223","New York DC","File Storage","Adele","RHEL 8","Dev",1371,"Mule GW","active"
"US","host7885","LAN","192.36.53.218","New York DC","Database","David Bowie","RHEL 8","Test",1019,"MongoDB","planned"
"HK","host2740","WAN","217.221.142.5","Hong Kong DC","Web Hosting","John Lennon","RHEL 8","Dev",834,"MongoDB","decommissioning"
"UK","host2748","DMZ","210.180.56.2","London DC","Email","John Lennon","RHEL 7","Dev",1267,"Kong GW","decommissioning"
"US","host4912","WAN","195.143.59.211","New York DC","Database","Adele","RHEL 8","Prod",1128,"rProxy","active"
"UK","host7889","WAN","200.166.234.73","London DC","Email","Adele","RHEL 8","Test",1087,"Kong GW","active"
